create table DECISIONINFO (
	DECISION_ID INT,
	USER_ID INT,
	DATE_CREATED VARCHAR2(10),
	WINNER VARCHAR2(1),
	WIN_PERCENT INT,
	COMPLETE VARCHAR2(5),
	PRIVACY VARCHAR2(7),
	STAR INT
);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (1, 69, '12/18/2017', 'A', 50, 'FALSE', 'PRIVATE', 30);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (51, 24, '7/30/2017', 'B', 6, 'TRUE', 'PUBLIC', 22);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (52, 48, '2/13/2018', 'A', 74, 'TRUE', 'PUBLIC', 35);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (53, 84, '6/6/2016', 'A', 82, 'FALSE', 'PUBLIC', 7);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (54, 82, '9/14/2015', 'B', 46, 'FALSE', 'PUBLIC', 43);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (55, 36, '3/19/2017', 'A', 24, 'FALSE', 'PUBLIC', 12);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (56, 3, '4/17/2016', 'B', 58, 'TRUE', 'PRIVATE', 0);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (57, 56, '5/20/2017', 'B', 22, 'FALSE', 'PRIVATE', 21);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (58, 67, '1/28/2017', 'A', 94, 'FALSE', 'PUBLIC', 10);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (59, 20, '6/18/2017', 'B', 23, 'TRUE', 'PRIVATE', 15);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (60, 8, '7/7/2018', 'A', 99, 'TRUE', 'PUBLIC', 6);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (61, 65, '2/14/2018', 'A', 32, 'TRUE', 'PRIVATE', 42);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (62, 74, '8/3/2017', 'A', 4, 'TRUE', 'PRIVATE', 2);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (63, 22, '2/26/2016', 'B', 31, 'FALSE', 'PUBLIC', 14);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (64, 13, '3/16/2017', 'A', 53, 'FALSE', 'PUBLIC', 31);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (65, 51, '5/20/2016', 'B', 15, 'TRUE', 'PRIVATE', 3);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (66, 74, '12/2/2016', 'B', 74, 'TRUE', 'PUBLIC', 46);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (67, 11, '2/10/2018', 'B', 42, 'FALSE', 'PUBLIC', 30);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (68, 68, '12/9/2017', 'B', 76, 'FALSE', 'PUBLIC', 2);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (69, 2, '5/29/2016', 'A', 72, 'FALSE', 'PRIVATE', 3);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (70, 91, '10/26/2015', 'A', 1, 'TRUE', 'PUBLIC', 3);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (71, 89, '9/21/2016', 'B', 94, 'TRUE', 'PRIVATE', 45);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (72, 53, '1/23/2016', 'A', 83, 'TRUE', 'PRIVATE', 26);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (73, 94, '12/25/2017', 'B', 40, 'TRUE', 'PUBLIC', 13);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (74, 91, '12/27/2015', 'B', 60, 'TRUE', 'PRIVATE', 8);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (75, 47, '2/29/2016', 'A', 4, 'FALSE', 'PRIVATE', 25);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (76, 47, '8/15/2017', 'A', 86, 'TRUE', 'PUBLIC', 15);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (77, 90, '7/16/2016', 'B', 49, 'FALSE', 'PRIVATE', 30);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (78, 73, '9/15/2017', 'B', 28, 'TRUE', 'PUBLIC', 11);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (79, 66, '5/14/2017', 'A', 47, 'FALSE', 'PRIVATE', 47);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (80, 73, '1/19/2016', 'B', 86, 'TRUE', 'PRIVATE', 25);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (81, 44, '3/7/2018', 'B', 63, 'TRUE', 'PUBLIC', 23);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (82, 44, '8/16/2015', 'B', 5, 'TRUE', 'PRIVATE', 12);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (83, 61, '9/20/2016', 'B', 40, 'TRUE', 'PUBLIC', 26);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (84, 59, '1/25/2017', 'B', 37, 'TRUE', 'PRIVATE', 1);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (85, 84, '3/16/2017', 'B', 25, 'FALSE', 'PRIVATE', 44);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (86, 80, '6/8/2016', 'B', 28, 'TRUE', 'PUBLIC', 12);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (87, 44, '11/8/2017', 'A', 72, 'FALSE', 'PRIVATE', 8);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (88, 18, '12/5/2015', 'A', 80, 'TRUE', 'PRIVATE', 20);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (89, 55, '3/11/2018', 'A', 48, 'FALSE', 'PUBLIC', 29);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (90, 21, '12/20/2015', 'B', 16, 'TRUE', 'PUBLIC', 47);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (91, 34, '5/25/2017', 'B', 11, 'FALSE', 'PUBLIC', 21);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (92, 27, '1/1/2016', 'B', 85, 'TRUE', 'PRIVATE', 16);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (93, 86, '12/20/2017', 'A', 39, 'TRUE', 'PRIVATE', 13);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (94, 89, '6/23/2017', 'B', 90, 'TRUE', 'PRIVATE', 47);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (95, 39, '9/11/2017', 'A', 34, 'TRUE', 'PUBLIC', 41);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (96, 57, '12/3/2017', 'A', 63, 'TRUE', 'PUBLIC', 50);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (97, 94, '11/30/2015', 'B', 30, 'TRUE', 'PRIVATE', 44);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (98, 15, '6/5/2016', 'A', 59, 'TRUE', 'PRIVATE', 48);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (99, 43, '2/23/2018', 'A', 53, 'FALSE', 'PUBLIC', 36);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (100, 90, '11/10/2015', 'B', 20, 'FALSE', 'PRIVATE', 35);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (101, 77, '3/9/2017', 'A', 99, 'TRUE', 'PUBLIC', 48);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (102, 10, '11/10/2015', 'B', 43, 'FALSE', 'PRIVATE', 3);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (103, 91, '7/7/2017', 'A', 76, 'FALSE', 'PRIVATE', 41);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (104, 33, '5/21/2017', 'B', 40, 'FALSE', 'PUBLIC', 39);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (105, 22, '12/1/2015', 'B', 95, 'FALSE', 'PUBLIC', 16);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (106, 56, '1/11/2018', 'A', 27, 'FALSE', 'PRIVATE', 4);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (107, 4, '11/24/2016', 'B', 93, 'FALSE', 'PUBLIC', 3);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (108, 5, '1/8/2016', 'A', 25, 'FALSE', 'PUBLIC', 28);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (109, 47, '12/5/2016', 'A', 41, 'FALSE', 'PUBLIC', 36);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (110, 69, '11/14/2016', 'B', 78, 'TRUE', 'PUBLIC', 27);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (111, 12, '10/27/2016', 'B', 39, 'TRUE', 'PRIVATE', 14);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (112, 68, '5/19/2016', 'B', 79, 'TRUE', 'PUBLIC', 46);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (113, 25, '11/14/2015', 'A', 48, 'TRUE', 'PUBLIC', 25);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (114, 11, '7/5/2018', 'B', 28, 'TRUE', 'PRIVATE', 14);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (115, 7, '6/22/2018', 'A', 17, 'FALSE', 'PUBLIC', 12);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (116, 72, '10/24/2017', 'B', 69, 'TRUE', 'PUBLIC', 25);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (117, 22, '11/25/2017', 'A', 78, 'TRUE', 'PRIVATE', 29);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (118, 47, '8/5/2017', 'A', 81, 'FALSE', 'PUBLIC', 3);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (119, 81, '2/23/2017', 'A', 59, 'TRUE', 'PRIVATE', 41);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (120, 16, '4/26/2017', 'A', 2, 'FALSE', 'PRIVATE', 2);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (121, 85, '7/26/2017', 'B', 61, 'FALSE', 'PUBLIC', 25);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (122, 61, '10/30/2017', 'B', 55, 'TRUE', 'PUBLIC', 0);
insert into DECISIONINFO (DECISION_ID, USER_ID, DATE_CREATED, WINNER, WIN_PERCENT, COMPLETE, PRIVACY, STAR) values (123, 76, '9/4/2017', 'A', 72, 'TRUE', 'PUBLIC', 22);
